Engine.PowerAtShaftRelative,Engine.RPM,Engine.PowerAtShaft,Unnamed: 3,Consumptions_Parsed,Unnamed: 5,Unnamed: 6,Unnamed: 7,Engine.PowerAtShaft_uptd,Engine.PowerAtShaft_Imputed_5,Engine.PowerAtShaft_Imputed,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,Consumptions_Parsed_NN,EngineRunningMinutes,Engine.RunningHours
72.09,80.8,4870,,17.5,,,,4870,4870,4870,,,,,,17.5,858,14.3
0,80.8,5400,,1.7,,,,3334.8325,3694.666,2822.11,,,,,,1.7,108,1.8
0,80.8,5400,,1.1,,,,3271.8325,3344.066,3322.443333,,,,,,1.1,147.1883157,2.45
0,80.8,5400,,4.1,,,,4121,4372.6,3991.666667,,,,,,4.1,284.6171435,4.74
0,80.8,5400,,3.5,,,,3897,4092.2,3662.666667,,,,,,3.5,257.1313779,4.29
0,80.8,5400,,3.8,,,,3731.25,3917.6,3641.666667,,,,,,3.8,270.8742607,4.51
0,80.8,5400,,4,,,,3731.25,3886.8,3991.666667,,,,,,4,280.0361826,4.67
0,80.8,5400,,4,,,,3731.25,3886.8,3991.666667,,,,,,4,280.0361826,4.67
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
,80.8,5400,,1.3,,,,3271.8325,3344.066,3322.443333,,,,,,1.3,156.3502375,2.61
,80.8,5400,,5,,,,5019,4815.2,4940,,,,,,5,325.8457919,5.43
,80.8,5400,,0.9,,,,3271.8325,3344.066,3322.443333,,,,,,0.9,138.0263938,2.3
67.27,78.1,4544,,6.6,,,,4544,4544,4544,,,,,,6.6,372,6.2
0,80.8,5400,,0.5,,,,3271.8325,3344.066,3084.666667,,,,,,0.5,119.7025501,2
0,80.8,5400,,1.7,,,,3334.8325,3694.666,2822.11,,,,,,1.7,174.6740812,2.91
0,80.8,5400,,4.1,,,,4121,4372.6,3991.666667,,,,,,4.1,284.6171435,4.74
0,80.8,5400,,4.2,,,,4121,4372.6,3991.666667,,,,,,4.2,289.1981044,4.82
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
,80.8,5400,,0.7,,,,3271.8325,3344.066,3084.666667,,,,,,0.7,128.864472,2.15
,80.8,5400,,8.5,,,,5187.5,5036.4,5287,,,,,,8.5,486.1794244,8.1
,80.8,5400,,0.4,,,,3271.8325,3344.066,3084.666667,,,,,,0.4,115.1215892,1.92
69.03,69,4663,,3,,,,4663,4663,4663,,,,,,3,186,3.1
72.42,81.1,4892,,29,,,,4892,4892,4892,,,,,,29,1440,24
72.79,81.6,4917,,29.5,,,,4917,4917,4917,,,,,,29.5,1440,24
70.88,78.3,4788,,29,,,,4788,4788,4788,,,,,,29,1380,23
