FuelOilTypeIDCode,Amount
MDOLS,0
MDO,0
MGOLS,90.2
MGO,0
HFO,1469.2
MDOLS,0
MGOLS,90.2
LSFO,0
MDO,0
MGO,0
HFO,1439
MDOLS,0
LSFO,0
MDO,0
MGOLS,90.2
MDO,0
HFO,1408.8
MGOLS,90.2
LSFO,0
MDOLS,0
MGO,0
MDOLS,0
MDO,0
HFO,1378.6
LSFO,0
MGOLS,90.2
MGO,0
MGOLS,90.2
LSFO,0
MDOLS,0
HFO,1348.4
MDO,0
MGO,0
MGOLS,90.2
MGO,0
MDO,0
LSFO,0
HFO,1316.9
MDOLS,0
MDOLS,0
HFO,1286.8
LSFO,0
MGO,0
MDO,0
MGOLS,90.2
MDOLS,0
HFO,1256.6
MGOLS,90.2
LSFO,0
MGO,0
MDO,0
MDO,0
HFO,1225.4
MGOLS,90.2
MGO,0
LSFO,0
MDOLS,0
MGO,0
MDOLS,0
MGOLS,90.2
LSFO,0
MDO,0
HFO,1195.3
LSFO,0
HFO,1163.8
MGOLS,90.2
MGO,0
MDO,0
MDOLS,0
MGO,0
MDO,0
HFO,1133.6
MDOLS,0
MGOLS,90.2
LSFO,0
HFO,1104.4
LSFO,0
MGOLS,90.2
MDOLS,0
MDO,0
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
MGOLS,90.2
HFO,1073.7
LSFO,0
MDOLS,0
MGOLS,90.2
MDO,0
MGO,0
HFO,1044.3
LSFO,0
MDO,0
MGO,0
MDOLS,0
HFO,1014.8
MGOLS,90.2
MDO,0
MGO,0
HFO,1001.2
MDOLS,0
LSFO,0
MGOLS,90.2
LSFO,0
HFO,1000.5
MGOLS,90.2
MDOLS,0
MDO,0
MGO,0
HFO,999.9
MDOLS,0
LSFO,0
MDO,0
MGO,0
MGOLS,90.2
MDO,0
MGOLS,90.2
MGO,0
LSFO,0
HFO,997.6
MDOLS,0
HFO,997
MGOLS,90.2
MDOLS,0
MDO,0
MGO,0
LSFO,0
MGOLS,90.2
MDO,0
MGO,0
LSFO,0
HFO,993.6
MDOLS,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
HFO,990
MGOLS,90.2
HFO,986.3
MDOLS,0
LSFO,0
MGO,0
MGOLS,90.2
MDO,0
LSFO,0
MGO,0
HFO,982.6
MDOLS,0
MDO,0
MGOLS,90.2
MDO,0
MGOLS,90.2
LSFO,0
HFO,978.8
MGO,0
MDOLS,0
HFO,0
MDOLS,0
MGOLS,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
MDO,0
HFO,970.8
LSFO,0
MGO,0
MGOLS,90.2
LSFO,0
MDO,0
MGO,0
MGOLS,0
HFO,0
MDOLS,0
MDO,0
LSFO,0
MGO,0
MDOLS,0
MGOLS,92
HFO,994.6
MGO,0
LSFO,0
MDOLS,0
MGOLS,92
MDO,0
HFO,990.6
MGO,0
MDO,0
LSFO,0
MGOLS,92
MDOLS,0
HFO,986.5
LSFO,0
MGOLS,92
MGO,0
MDOLS,0
HFO,982.5
MDO,0
MDOLS,0
MGO,0
MDO,0
HFO,977.8
MGOLS,92
LSFO,0
MDO,0
LSFO,0
MGO,0
HFO,977.8
MGOLS,92
MDOLS,0
MGO,0
MGOLS,92
LSFO,0
HFO,975
MDOLS,0
MDO,0
MDO,0
LSFO,0
MGOLS,92
MDOLS,0
HFO,945.3
MGO,0
MDO,0
LSFO,0
MGO,0
HFO,914.9
MGOLS,92
MDOLS,0
MGOLS,92
MDO,0
MGO,0
HFO,884.5
MDOLS,0
LSFO,0
MGOLS,92
MDOLS,0
HFO,856.1
MGO,0
LSFO,0
MDO,0
MDO,0
MDOLS,0
LSFO,0
MGOLS,92
MGO,0
HFO,842.7
MDO,0
MDOLS,0
MGO,0
HFO,842.2
MGOLS,92
LSFO,0
LSFO,0
MGO,0
MDO,0
MDOLS,0
MGOLS,92
HFO,841
HFO,836.7
MGOLS,92
LSFO,0
MGO,0
MDO,0
MDOLS,0
LSFO,0
MGOLS,0
HFO,0
MDO,0
MGO,0
MDOLS,0
MDO,0
MGO,0
LSFO,0
HFO,832.3
MGOLS,92
MDOLS,0
HFO,831.7
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,92
HFO,831
MGOLS,92
LSFO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,0
HFO,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
HFO,824.3
MDOLS,0
MGOLS,92
LSFO,0
MGO,0
MDO,0
MGOLS,92
HFO,823.5
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,0
HFO,0
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,820.1
MGOLS,92
MGO,0
MDOLS,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,0
MGO,0
MDO,0
LSFO,0
HFO,0
MGOLS,92
MGO,0
HFO,782.6
LSFO,0
MDO,0
MDOLS,0
HFO,752.4
MGO,0
MDOLS,0
MGOLS,92
MDO,0
LSFO,0
MGOLS,92
LSFO,0
MGO,0
MDOLS,0
MDO,0
HFO,722.1
MDO,0
HFO,692.1
LSFO,0
MGO,0
MGOLS,92
MDOLS,0
HFO,0
MDO,0
MDOLS,0
LSFO,0
MGOLS,0
MGO,0
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,685.5
MGOLS,92
MGOLS,92
LSFO,0
MDOLS,0
MGO,0
MDO,0
HFO,1707.7
HFO,1707.3
LSFO,0
MGOLS,92
MDOLS,0
MGO,0
MDO,0
MGOLS,92
HFO,1702.2
MGO,0
MDO,0
LSFO,0
MDOLS,0
HFO,1671.8
LSFO,0
MDOLS,0
MGO,0
MGOLS,92
MDO,0
MGO,0
HFO,1640.3
MDO,0
MGOLS,92
MDOLS,0
LSFO,0
LSFO,0
HFO,1610.1
MDOLS,0
MGO,0
MGOLS,92
MDO,0
MDOLS,0
MGOLS,92
MDO,0
MGO,0
HFO,1579.8
LSFO,0
MGOLS,92
LSFO,0
MDO,0
MDOLS,0
MGO,0
HFO,1549
MGOLS,92
MDOLS,0
MDO,0
MGO,0
LSFO,0
HFO,1517.4
MDOLS,0
MGOLS,92
LSFO,0
HFO,1487.3
MGO,0
MDO,0
MDOLS,0
HFO,1457.1
LSFO,0
MGO,0
MGOLS,92
MDO,0
HFO,1427.1
MDO,0
MGOLS,92
MDOLS,0
MGO,0
LSFO,0
HFO,1411.3
MDO,0
MGOLS,92
MGO,0
LSFO,0
MDOLS,0
LSFO,0
MGO,0
MDOLS,0
MDO,0
MGOLS,92
HFO,1410.8
MGO,0
MDO,0
MDOLS,0
LSFO,0
MGOLS,92
HFO,1409
LSFO,0
MGO,0
HFO,1405.2
MDOLS,0
MGOLS,92
MDO,0
MDO,0
LSFO,0
MGOLS,92
MDOLS,0
MGO,0
HFO,1403.1
LSFO,0
HFO,1402.6
MGOLS,92
MGO,0
MDOLS,0
MDO,0
MDOLS,0
LSFO,0
MDO,0
MGO,0
HFO,1402
MGOLS,92
HFO,1401
LSFO,0
MDO,0
MGOLS,92
MDOLS,0
MGO,0
LSFO,0
MGO,0
MDOLS,0
MDO,0
MGOLS,92
HFO,1398.7
MGOLS,92
MDO,0
LSFO,0
MGO,0
MDOLS,0
HFO,1396.6
MGO,0
MDOLS,0
HFO,1393.1
MDO,0
LSFO,0
MGOLS,92
MGO,0
LSFO,0
MGOLS,92
HFO,1389.3
MDOLS,0
MDO,0
MGOLS,92
MDOLS,0
HFO,1385.9
MDO,0
LSFO,0
MGO,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,92
HFO,1383
LSFO,0
MDOLS,0
MDO,0
MGO,0
MGOLS,92
HFO,1352.6
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,92
HFO,1322.3
MDO,0
HFO,1292.1
MDOLS,0
MGOLS,92
LSFO,0
MGO,0
MDOLS,0
HFO,1288.9
MGO,0
MGOLS,92
MDO,0
LSFO,0
MDO,0
MGO,0
HFO,1288.5
MDOLS,0
LSFO,0
MGOLS,92
LSFO,0
HFO,1285.5
MGOLS,92
MDO,0
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,92
HFO,1285.3
MGO,0
MDO,0
HFO,1284.5
LSFO,0
MGOLS,92
MDOLS,0
MDO,0
MGO,0
MGO,0
HFO,1279.7
MDOLS,0
LSFO,0
MDO,0
MGOLS,92
MGO,0
MDO,0
HFO,1274.3
MGOLS,92
LSFO,0
MDOLS,0
MDO,0
HFO,1273.7
MGOLS,92
LSFO,0
MGO,0
MDOLS,0
LSFO,0
MDO,0
MGO,0
HFO,1272.2
MGOLS,92
MDOLS,0
MDOLS,0
MGOLS,92
LSFO,0
MGO,0
HFO,1270.6
MDO,0
MDO,0
LSFO,0
MGOLS,92
HFO,1270
MDOLS,0
MGO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,92
HFO,1259.2
LSFO,0
MGO,0
MDOLS,0
MGOLS,92
MDO,0
HFO,1228.8
LSFO,0
MGOLS,92
MDO,0
LSFO,0
MGO,0
HFO,1199.4
MDOLS,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
HFO,1169.2
MGOLS,92
MDOLS,0
HFO,1139
MDO,0
MGOLS,92
LSFO,0
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGOLS,92
MGO,0
HFO,1108.8
HFO,1078.6
MDO,0
MGO,0
LSFO,0
MGOLS,92
MDOLS,0
LSFO,0
MGO,0
MDOLS,0
MGOLS,92
HFO,1049.2
MDO,0
MGOLS,92
MGO,0
LSFO,0
HFO,1019.2
MDO,0
MDOLS,0
MGOLS,92
LSFO,0
HFO,1018.6
MGO,0
MDOLS,0
MDO,0
MGOLS,92
HFO,1018
MDO,0
MGO,0
LSFO,0
MDOLS,0
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,1014.3
MGOLS,92
HFO,1010.7
LSFO,0
MGOLS,92
MDO,0
MDOLS,0
MGO,0
MGOLS,92
MDOLS,0
MGO,0
MDO,0
LSFO,0
HFO,1007.2
MGOLS,92
MDOLS,0
HFO,1005.5
MGO,0
LSFO,0
MDO,0
HFO,1001.8
LSFO,0
MGOLS,92
MDO,0
MGO,0
MDOLS,0
MDOLS,0
LSFO,0
MDO,0
MGO,0
HFO,997.9
MGOLS,92
LSFO,0
HFO,994.1
MGOLS,92
MDO,0
MDOLS,0
MGO,0
MGO,0
HFO,993.4
MDOLS,0
LSFO,0
MDO,0
MGOLS,92
HFO,992.7
MDO,0
LSFO,0
MGOLS,92
MGO,0
MDOLS,0
LSFO,0
MGO,0
MDO,0
MGOLS,0
HFO,0
MDOLS,0
LSFO,0
MGO,0
HFO,1608.5
MDOLS,0
MGOLS,92
MDO,0
MDOLS,0
MGO,0
LSFO,0
HFO,1578.5
MGOLS,92
MDO,0
MGO,0
HFO,1548.4
MDOLS,0
MGOLS,92
LSFO,0
MDO,0
MGOLS,92
LSFO,0
MDOLS,0
MGO,0
MDO,0
HFO,1518.3
LSFO,0
MDOLS,0
MGOLS,92
MGO,0
MDO,0
HFO,1487.7
MDO,0
MGO,0
MDOLS,0
HFO,1457.9
LSFO,0
MGOLS,92
MDOLS,0
MGOLS,92
MDO,0
HFO,1427.6
MGO,0
LSFO,0
MDO,0
MGO,0
MDOLS,0
LSFO,0
HFO,1397.6
MGOLS,92
MDO,0
MDOLS,0
LSFO,0
MGO,0
HFO,1367.3
MGOLS,92
MDO,0
MDOLS,0
MGOLS,92
LSFO,0
MGO,0
HFO,1337.1
MGOLS,92
LSFO,0
HFO,1306.8
MDO,0
MDOLS,0
MGO,0
MGO,0
MGOLS,92
MDOLS,0
HFO,1275
LSFO,0
MDO,0
MDO,0
HFO,1244.7
LSFO,0
MGO,0
MGOLS,92
MDOLS,0
MDO,0
MGOLS,92
LSFO,0
MDOLS,0
HFO,1236.6
MGO,0
MGOLS,92
HFO,1231.9
MDO,0
MDOLS,0
LSFO,0
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGOLS,92
MGO,0
HFO,1229.6
MDO,0
HFO,1224.1
LSFO,0
MDOLS,0
MGO,0
MGOLS,92
MDO,0
MGO,0
LSFO,0
MGOLS,92
HFO,1221.7
MDOLS,0
MGOLS,92
MDO,0
MDOLS,0
MGO,0
LSFO,0
HFO,1216.2
MGO,0
MGOLS,92
MDOLS,0
HFO,1210.2
MDO,0
LSFO,0
MGO,0
MDOLS,0
LSFO,0
HFO,1193.2
MGOLS,92
MDO,0
MGOLS,92
MDO,0
LSFO,0
MGO,0
HFO,1191.4
MDOLS,0
MDOLS,0
MGOLS,92
MGO,0
LSFO,0
MDO,0
HFO,1191.4
LSFO,0
MDOLS,0
MGO,0
MGOLS,92
HFO,1187.6
MDO,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
HFO,1184
MGOLS,92
LSFO,0
MDO,0
MDOLS,0
MGO,0
HFO,1180.2
MGOLS,92
LSFO,0
MDO,0
HFO,1176.5
MGOLS,92
MDOLS,0
MGO,0
MGO,0
MDO,0
MGOLS,92
MDOLS,0
HFO,1172.8
LSFO,0
MGO,0
MGOLS,92
HFO,1169.1
MDOLS,0
MDO,0
LSFO,0
LSFO,0
MGO,0
HFO,1162
MDOLS,0
MGOLS,92
MDO,0
MDOLS,0
MGO,0
MDO,0
HFO,1158.3
MGOLS,92
LSFO,0
MGO,0
LSFO,0
MGOLS,92
MDO,0
MDOLS,0
HFO,1155.1
MGO,0
HFO,1153.4
MDO,0
MDOLS,0
LSFO,0
MGOLS,92
LSFO,0
MDO,0
HFO,1151.6
MGOLS,92
MDOLS,0
MGO,0
MGOLS,92
LSFO,0
MDO,0
MGO,0
HFO,1152.5
MDOLS,0
MGOLS,92
MGO,0
MDOLS,0
LSFO,0
HFO,1137.3
MDO,0
MGOLS,92
HFO,1108.4
LSFO,0
MDO,0
MGO,0
MDOLS,0
MGO,0
MGOLS,92
MDOLS,0
HFO,1079.8
LSFO,0
MDO,0
MGO,0
MDOLS,0
HFO,1049.6
MGOLS,92
MDO,0
LSFO,0
MGO,0
MDOLS,0
LSFO,0
MGOLS,92
HFO,1019.7
MDO,0
MGO,0
HFO,989.6
MDO,0
MDOLS,0
MGOLS,92
LSFO,0
MDOLS,0
MGOLS,92
LSFO,0
MDO,0
MGO,0
HFO,960.9
LSFO,0
MDO,0
HFO,930.6
MDOLS,0
MGO,0
MGOLS,92
LSFO,0
MGOLS,92
MGO,0
HFO,900.4
MDOLS,0
MDO,0
HFO,871.5
MGOLS,92
MDO,0
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
MGOLS,92
HFO,841.3
LSFO,0
HFO,811.3
MDOLS,0
MDO,0
MGO,0
LSFO,0
MGOLS,92
MGOLS,92
LSFO,0
MDOLS,0
MDO,0
HFO,781.1
MGO,0
MGO,0
MDO,0
LSFO,0
MGOLS,92
HFO,752.3
MDOLS,0
HFO,722.2
MGOLS,92
LSFO,0
MDO,0
MGO,0
MDOLS,0
HFO,692.2
LSFO,0
MDOLS,0
MGO,0
MGOLS,92
MDO,0
MGO,0
MGOLS,92
MDOLS,0
HFO,662.2
LSFO,0
MDO,0
LSFO,0
MGOLS,92
HFO,632.2
MGO,0
MDOLS,0
MDO,0
MGOLS,92
MDOLS,0
MDO,0
HFO,603.3
MGO,0
LSFO,0
MDOLS,0
LSFO,0
MDO,0
MGO,0
MGOLS,92
HFO,573.1
HFO,544.2
LSFO,0
MGO,0
MDOLS,0
MDO,0
MGOLS,92
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,92
HFO,540.5
MDOLS,0
LSFO,0
MDO,0
MGO,0
HFO,538
MGOLS,92
MDO,0
LSFO,0
HFO,1085.8
MGOLS,187.6
MDOLS,0
MGO,0
LSFO,0
MGOLS,187.6
HFO,1076.6
MGO,0
MDO,0
MDOLS,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
HFO,1046.8
MGOLS,187.6
HFO,1017
MGO,0
LSFO,0
MDOLS,0
MGOLS,187.6
MDO,0
MDOLS,0
MDO,0
LSFO,0
HFO,987
MGO,0
MGOLS,187.6
LSFO,0
MGOLS,187.6
MDOLS,0
MDO,0
HFO,957.3
MGO,0
MGOLS,182.1
MDOLS,0
MGO,0
MDO,0
LSFO,0
HFO,940.3
HFO,940.3
MDO,0
MGOLS,181.7
MGO,0
MDOLS,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
HFO,940.3
MGOLS,181
LSFO,0
LSFO,0
MDOLS,0
MGO,0
HFO,940.3
MGOLS,175.5
MDO,0
HFO,940.3
MDOLS,0
LSFO,0
MDO,0
MGO,0
MGOLS,172.4
HFO,940.3
MGOLS,168.8
LSFO,0
MGO,0
MDOLS,0
MDO,0
MGOLS,167.6
LSFO,0
HFO,940.3
MDO,0
MGO,0
MDOLS,0
MGOLS,166.1
MDO,0
MDOLS,0
LSFO,0
MGO,0
HFO,940.3
HFO,925.7
LSFO,0
MDO,0
MGO,0
MDOLS,0
MGOLS,164.3
MDOLS,0
LSFO,0
MGO,0
MDO,0
HFO,895.5
MGOLS,164.3
MDOLS,0
MGO,0
MDO,0
MGOLS,164.3
HFO,865.3
LSFO,0
MDOLS,0
MGOLS,164.3
LSFO,0
HFO,839.5
MGO,0
MDO,0
MDO,0
MDOLS,0
MGOLS,164.3
LSFO,0
MGO,0
HFO,809.7
MDOLS,0
MDO,0
HFO,775.7
MGO,0
MGOLS,164.3
LSFO,0
MGO,0
MGOLS,164.3
HFO,745.9
LSFO,0
MDOLS,0
MDO,0
MDOLS,0
MDO,0
MGO,0
MGOLS,164.3
HFO,716.2
LSFO,0
HFO,687
MGOLS,164.3
MDOLS,0
LSFO,0
MDO,0
MGO,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,164.3
HFO,656.9
MGO,0
MDOLS,0
HFO,638.6
MDO,0
MGOLS,164.3
LSFO,0
LSFO,0
HFO,638.1
MGO,0
MDOLS,0
MDO,0
MGOLS,164.3
MGO,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,164.3
HFO,637
MGOLS,164.3
MDO,0
LSFO,0
MDOLS,0
MGO,0
HFO,633.3
HFO,628.5
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,164.3
HFO,628.4
LSFO,0
MGOLS,164.3
MGO,0
MDO,0
MDOLS,0
MDO,0
MDOLS,0
HFO,622.8
LSFO,0
MGOLS,164.3
MGO,0
LSFO,0
MDO,0
HFO,621.8
MDOLS,0
MGO,0
MGOLS,164.3
MDOLS,0
MGOLS,164.3
MGO,0
LSFO,0
HFO,618
MDO,0
MGO,0
LSFO,0
MDOLS,0
HFO,598.9
MDO,0
MGOLS,164.3
MGOLS,164.3
LSFO,0
MDO,0
HFO,569.1
MGO,0
MDOLS,0
MDOLS,0
MGO,0
MDO,0
MGOLS,164.3
HFO,539.3
LSFO,0
LSFO,0
MDOLS,0
MGOLS,164.3
MDO,0
HFO,509.6
MGO,0
MGOLS,164.3
HFO,479.7
LSFO,0
MDOLS,0
MDO,0
MGO,0
MDOLS,0
MDO,0
HFO,449.7
MGOLS,164.3
LSFO,0
MGO,0
HFO,419.5
MDO,0
MGO,0
MDOLS,0
LSFO,0
MGOLS,164.3
HFO,401.1
MDO,0
MGOLS,164.3
LSFO,0
MGO,0
MDOLS,0
MGO,0
HFO,385.9
MGOLS,164.3
MDOLS,0
MDO,0
LSFO,0
LSFO,0
MGO,0
MDO,0
MDOLS,0
HFO,365.9
MGOLS,164.3
MGO,0
MDOLS,0
HFO,343
LSFO,0
MGOLS,164.3
MDO,0
MDO,0
MDOLS,0
HFO,312.8
MGOLS,164.3
MGO,0
LSFO,0
HFO,282.6
MGOLS,164.3
MDO,0
MDOLS,0
LSFO,0
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGO,0
HFO,252.8
MGOLS,164.3
MGOLS,158.3
LSFO,0
MDO,0
MGO,0
HFO,230.8
MDOLS,0
MDO,0
LSFO,0
HFO,230.8
MGO,0
MDOLS,0
MGOLS,136.3
HFO,230.8
MDOLS,0
LSFO,0
MGOLS,132.5
MGO,0
MDO,0
LSFO,0
MDOLS,0
MDO,0
MGOLS,129.5
HFO,230.8
MGO,0
HFO,230.8
MGO,0
MGOLS,129.5
LSFO,0
MDOLS,0
MDO,0
MDOLS,0
MGOLS,125.9
MGO,0
MDO,0
HFO,230.8
LSFO,0
MGOLS,125.6
MDO,0
HFO,230.8
MDOLS,0
MGO,0
LSFO,0
MGO,0
LSFO,0
MGOLS,124.3
HFO,230.8
MDO,0
MDOLS,0
LSFO,0
HFO,229.3
MDO,0
MGO,0
MGOLS,100.7
MDOLS,0
MDOLS,0
LSFO,0
HFO,202.1
MDO,0
MGOLS,100.7
MGO,0
LSFO,0
HFO,173.3
MGOLS,100.7
MDO,0
MDOLS,0
MGO,0
HFO,143.6
MDO,0
MGO,0
MGOLS,100.7
MDOLS,0
LSFO,0
MGO,0
MGOLS,100.7
HFO,130.4
MDOLS,0
LSFO,0
MDO,0
HFO,129.3
LSFO,0
MGO,0
MDO,0
MGOLS,100.7
MDOLS,0
HFO,126
MDOLS,0
MGO,0
MGOLS,98.5
MDO,0
LSFO,0
MGOLS,98.5
MDOLS,0
MDO,0
HFO,119.8
MGO,0
LSFO,0
MGOLS,98.5
LSFO,0
MGO,0
HFO,116.5
MDO,0
MDOLS,0
MGOLS,98.5
MGO,0
HFO,113.2
MDO,0
MDOLS,0
LSFO,0
LSFO,0
MGOLS,98.5
MGO,0
MDO,0
MDOLS,0
HFO,110
HFO,106.8
MDOLS,0
LSFO,0
MGOLS,98.5
MDO,0
MGO,0
MGOLS,98.5
MDOLS,0
MDO,0
MGO,0
LSFO,0
HFO,103.6
MGO,0
MDO,0
LSFO,0
HFO,100.4
MGOLS,98.5
MDOLS,0
MGO,0
MGOLS,98.5
LSFO,0
MDOLS,0
MDO,0
HFO,97.2
LSFO,0
MGO,0
MDOLS,0
MGOLS,428.4
HFO,1191.1
MDO,0
MDO,0
MGOLS,428.4
HFO,1185.7
MGO,0
MDOLS,0
LSFO,0
MGO,0
MDOLS,0
LSFO,0
MDO,0
HFO,1181.1
MGOLS,428.4
HFO,1180.8
LSFO,0
MGOLS,428.4
MDOLS,0
MDO,0
MGO,0
HFO,1176.8
MGOLS,428.4
MDOLS,0
LSFO,0
MDO,0
MGO,0
HFO,1162.4
MGO,0
MGOLS,428.4
LSFO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,428.4
HFO,1131
LSFO,0
MDOLS,0
MDO,0
MGO,0
MDOLS,0
HFO,1129.7
MGOLS,428.4
MDO,0
LSFO,0
LSFO,0
HFO,1129.2
MDO,0
MGO,0
MDOLS,0
MGOLS,428.4
LSFO,0
HFO,1125.5
MDOLS,0
MDO,0
MGO,0
MGOLS,428.4
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,1120.9
MGOLS,428.4
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,1120.3
MGOLS,428.4
MGOLS,428.4
HFO,1116.3
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,428.4
MDO,0
MDOLS,0
HFO,1115.3
LSFO,0
HFO,1086.3
LSFO,0
MGOLS,428.4
MDOLS,0
MGO,0
MDO,0
MGO,0
MGOLS,428.4
HFO,1056.5
MDOLS,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,428.4
MDO,0
LSFO,0
MGO,0
HFO,1033.3
MDO,0
HFO,1028.6
MDOLS,0
MGOLS,428.4
LSFO,0
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGO,0
MGOLS,428.4
HFO,1025.1
HFO,1021.1
MDO,0
MDOLS,0
MGOLS,428.4
LSFO,0
MGO,0
MGO,0
MGOLS,428.4
MDO,0
LSFO,0
MDOLS,0
HFO,1018.8
MDOLS,0
MGO,0
LSFO,0
HFO,1015.2
MDO,0
MGOLS,428.4
MGO,0
HFO,1012
MDOLS,0
MGOLS,428.4
LSFO,0
MDO,0
MGOLS,428.4
MDOLS,0
MGO,0
HFO,1009.4
LSFO,0
MDO,0
LSFO,0
MGOLS,428.4
HFO,1008.3
MGO,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,428.4
MDO,0
HFO,1004.3
MDOLS,0
MDO,0
LSFO,0
MGOLS,428.4
HFO,998.5
MDOLS,0
MGO,0
HFO,998.1
MGOLS,428.4
LSFO,0
MGO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,428.4
LSFO,0
MDO,0
MDOLS,0
HFO,968
MGO,0
LSFO,0
MGOLS,428.4
MDO,0
MDOLS,0
HFO,937.8
MDO,0
MGOLS,428.4
LSFO,0
MGO,0
HFO,907.8
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
MDO,0
HFO,877.6
MGOLS,428.4
MGO,0
LSFO,0
MGOLS,428.4
MDO,0
HFO,848.4
MDOLS,0
LSFO,0
MDOLS,0
HFO,818.2
MGO,0
MDO,0
MGOLS,428.4
MGOLS,428.4
MDO,0
MDOLS,0
MGO,0
LSFO,0
HFO,788.1
MGO,0
MDO,0
MDOLS,0
MGOLS,428.4
HFO,757.9
LSFO,0
MDOLS,0
LSFO,0
MDO,0
MGOLS,428.4
MGO,0
HFO,727.7
MGOLS,428.4
HFO,697.7
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGOLS,428.4
LSFO,0
MGO,0
MDOLS,0
HFO,668.1
MDO,0
HFO,641.9
MGO,0
MGOLS,428.4
MDOLS,0
MDO,0
LSFO,0
MDOLS,0
HFO,634.7
LSFO,0
MDO,0
MGOLS,428.4
MGO,0
MDO,0
MDOLS,0
MGO,0
HFO,631.6
MGOLS,428.4
LSFO,0
MGOLS,428.4
HFO,630.5
MDOLS,0
MDO,0
LSFO,0
MGO,0
MGOLS,428.4
MGO,0
HFO,629.5
MDO,0
LSFO,0
MDOLS,0
MDO,0
MDOLS,0
LSFO,0
MGO,0
HFO,610.5
MGOLS,428.4
MDO,0
MGO,0
MGOLS,428.4
MDOLS,0
LSFO,0
HFO,581.5
MGO,0
MDO,0
HFO,552.4
MGOLS,428.4
MDOLS,0
LSFO,0
MGOLS,428.4
HFO,522.6
MGO,0
MDO,0
LSFO,0
MDOLS,0
MDOLS,0
LSFO,0
MGOLS,428.4
MGO,0
HFO,492.7
MDO,0
MDO,0
HFO,463
MGOLS,428.4
LSFO,0
MDOLS,0
MGO,0
MGO,0
LSFO,0
MDO,0
MGOLS,428.4
MDOLS,0
HFO,433.5
MDOLS,0
MGOLS,428.4
MGO,0
HFO,404
MDO,0
LSFO,0
MGO,0
MDO,0
MGOLS,428.4
MDOLS,0
HFO,375
LSFO,0
LSFO,0
MDOLS,0
MGO,0
HFO,345.8
MDO,0
MGOLS,428.4
HFO,316.1
LSFO,0
MDO,0
MGOLS,428.4
MDOLS,0
MGO,0
MDO,0
MGO,0
MDOLS,0
LSFO,0
HFO,286.9
MGOLS,428.4
LSFO,0
MGO,0
MDO,0
MGOLS,428.4
HFO,256.2
MDOLS,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,428.4
MGO,0
HFO,227
MGO,0
HFO,202.7
MDOLS,0
LSFO,0
MGOLS,424.4
MDO,0
MDOLS,0
LSFO,0
MDO,0
HFO,202.7
MGOLS,398
MGO,0
LSFO,0
HFO,202.7
MDO,0
MGOLS,397.4
MDOLS,0
MGO,0
MDOLS,0
MGOLS,393
LSFO,0
MGO,0
HFO,202.7
MDO,0
MGO,0
MGOLS,389.4
MDO,0
MDOLS,0
LSFO,0
HFO,202.7
LSFO,0
HFO,202.7
MGO,0
MDO,0
MGOLS,385.6
MDOLS,0
VLSFO,0
MGO,0
MDOLS,0
MDO,0
MGOLS,381.9
LSFO,0
HFO,202.7
LSFO,0
MDO,0
MDOLS,0
MGOLS,378.4
HFO,202.7
VLSFO,0
MGO,0
VLSFO,0
MDOLS,0
