FuelOilTypeIDCode,Amount
LSFO,0
MGOLS,154
MDO,0
MDOLS,0
LSFO,0
MGOLS,154
HFO,1613.6
MGO,0
MDOLS,0
MGOLS,154
LSFO,0
MDO,0
HFO,1612.3
MGO,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,154
MDO,0
HFO,1607.3
HFO,1606.4
MGO,0
MGOLS,154
LSFO,0
MDO,0
MDOLS,0
MDO,0
MGOLS,154
MDOLS,0
HFO,1599.8
MGO,0
LSFO,0
MDOLS,0
MGOLS,154
MDO,0
MGO,0
LSFO,0
HFO,1599.3
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,154
HFO,1597.6
MGOLS,154
MGO,0
LSFO,0
MDOLS,0
MDO,0
HFO,1593.5
MDOLS,0
MDO,0
LSFO,0
MGOLS,153.8
MGO,0
HFO,1589.5
MDOLS,0
MDO,0
MGOLS,153.8
HFO,1586.1
MGO,0
LSFO,0
MDOLS,0
MGO,0
MDO,0
LSFO,0
MGOLS,153.8
HFO,1585.4
HFO,1576.9
MDO,0
MGOLS,153.8
MGO,0
LSFO,0
MDOLS,0
MDOLS,0
MGO,0
HFO,1576.5
MDO,0
LSFO,0
MGOLS,153.8
MDOLS,0
MGOLS,153.8
HFO,1573.5
MGO,0
LSFO,0
MDO,0
MGO,0
MGOLS,153.8
MDO,0
LSFO,0
HFO,1544.5
MDOLS,0
MGOLS,153.8
HFO,1515
LSFO,0
MDOLS,0
MGO,0
MDO,0
MGO,0
LSFO,0
HFO,1486
MDOLS,0
MGOLS,153.8
MDO,0
MGO,0
MDO,0
HFO,1456.2
MDOLS,0
LSFO,0
MGOLS,153.8
MGO,0
MGOLS,153.8
LSFO,0
HFO,1427.9
MDOLS,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MDO,0
HFO,1398
MGOLS,153.8
HFO,1368.6
MDOLS,0
MGO,0
MDO,0
MGOLS,153.8
LSFO,0
MGO,0
HFO,1339.3
MGOLS,153.8
LSFO,0
MDOLS,0
MDO,0
MDOLS,0
MGO,0
MDO,0
HFO,1309.3
LSFO,0
MGOLS,153.8
MDO,0
HFO,1279.3
MGO,0
MDOLS,0
LSFO,0
MGOLS,153.8
MGO,0
MDO,0
HFO,1249.3
MGOLS,153.8
LSFO,0
MDOLS,0
MGOLS,153.8
MDOLS,0
LSFO,0
HFO,1241.3
MGO,0
MDO,0
HFO,1229.3
MGO,0
MGOLS,153.8
MDO,0
LSFO,0
MDOLS,0
MDO,0
MDOLS,0
HFO,1228.4
LSFO,0
MGOLS,153.8
MGO,0
MDOLS,0
HFO,1224.9
MGOLS,153.6
MDO,0
LSFO,0
MGO,0
LSFO,0
MGO,0
MGOLS,153.6
MDO,0
HFO,1221.3
MDOLS,0
MGOLS,153.6
MDO,0
MDOLS,0
HFO,1217.6
MGO,0
LSFO,0
HFO,1213.8
MDOLS,0
MDO,0
MGOLS,153.6
MGO,0
LSFO,0
HFO,1209.7
MDOLS,0
MGO,0
MDO,0
LSFO,0
MGOLS,153.6
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,153.6
HFO,1205.7
MGOLS,153.6
HFO,1201.8
MGO,0
LSFO,0
MDOLS,0
MDO,0
MDO,0
MGO,0
MGOLS,153.6
LSFO,0
MDOLS,0
HFO,1197.9
HFO,1194.2
MDO,0
MGOLS,153.4
MGO,0
LSFO,0
MDOLS,0
MDOLS,0
LSFO,0
HFO,1190.5
MDO,0
MGOLS,153.4
MGO,0
MDOLS,0
MGOLS,153.4
LSFO,0
MDO,0
HFO,1186.8
MGO,0
LSFO,0
MDO,0
MGO,0
MDOLS,0
HFO,1185.2
MGOLS,153.4
MDO,0
MGOLS,153.4
HFO,1184.2
MGO,0
MDOLS,0
LSFO,0
HFO,1177.9
MDOLS,0
MGO,0
MGOLS,153.4
LSFO,0
MDO,0
HFO,1174.9
MDOLS,0
MDO,0
MGOLS,153.4
LSFO,0
MGO,0
MGOLS,153.4
LSFO,0
HFO,1171.1
MDO,0
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,153.4
HFO,1169.9
MDO,0
MDOLS,0
MDO,0
HFO,1157.4
MGO,0
MGOLS,153.4
LSFO,0
HFO,1151.6
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGOLS,153.4
MGOLS,153.4
HFO,1122.1
MDOLS,0
MGO,0
LSFO,0
MDO,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
HFO,1092
MGOLS,153.4
HFO,1061.6
MGOLS,153.4
LSFO,0
MDO,0
MGO,0
MDOLS,0
MDOLS,0
MGOLS,153.4
MDO,0
HFO,1032.8
MGO,0
LSFO,0
MGO,0
MGOLS,153.4
